JH,XH,,,,QXQSJS 取芯起始井深,QXZZJS 取芯终止井深,CZJSJ 纯钻进时间,JC 进尺,ZS 钻速,ZY 钻压,ZS1 转速,BYY 泵压,PL 排量,QXCW 取芯层位,YXMS 岩性描述,SHLDDYY 收获率低的原因,QXJC 取芯进尺,QYS 取样数,MBWQS,QXZSJ,ZTXH,ZTBH,ZTCJ,QXGJ 取芯工具,YXCD 岩心长度,YXZJ 岩芯直径,SHL 收获率,,,,,,,,,,,,,,
连6,1,,1526.040039,1534.319946,01:30,8.279907227,5.519938,50,92,3,20,K1S,细砂岩,进尺快,8.279999733,,,,,,,川8-4,8.100000381,105,97.83000183,,,,,,,,,,,,,,,,
连6,2,,1534.319946,1543.719971,01:20,9.400024414,7.230788011,50,92,3,20,K1S,细砂岩,进尺快,9.399999619,,,,,,,川8-4,9.399999619,105,100,,,,,,,,,,,,,,,,
连6,3,,1543.719971,1553.219971,01:40,9.5,14.25,50,92,3,20,K1S,细砂岩,进尺快,9.5,,,,,,川克,川8-4,9.5,105,100,,,,,,,,,,,,,,,,
玉东4,1,,2946,2953.820068,6:05,7.820068359,1.303344727,,,,,,,,7.820000172,,,,,,,,7.820000172,,100,,,,,,,,,,,,,,,,
玉东4,2,,2980,1987.060059,7:45,-992.9399414,,,,,,,,,7.820000172,,,,,,,,7.059999943,,100,,,,,,,,,,,,,,,,
玉东4,3,,3015,3024.120117,7:00,9.120117188,1.302873884,,,,,,,,7.820000172,,,,,,,,9.119999886,,100,,,,,,,,,,,,,,,,
玉东4,4,,3069,3078.300049,3:45,9.300048828,11.16005859,,,,,,,,7.820000172,,,,,,,,9.029999733,,97.09999847,,,,,,,,,,,,,,,,
玉东4,5,,3078.300049,3085.5,5:40,7.199951172,1.270579619,,,,,,,,7.820000172,,,,,,,,6.960000038,,96.66999817,,,,,,,,,,,,,,,,
玉东4,6,,3097,3106.350098,4:40,9.350097656,2.003592355,,,,,,,,7.820000172,,,,,,,,9.350000381,,100,,,,,,,,,,,,,,,,
玉东4,7,,3106.350098,3114.550049,3:48,8.199951172,2.139117697,,,,,,,,7.820000172,,,,,,,,8.199999809,,100,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,